// Note : ลฐ(ID)ฟอ ณปฟ๋ภบ นตๅฝร ลวภธทฮ ฑธบะตวพ๎พ฿ วีดฯดู.
//
IN_000_000	Sword
IN_001_089	บัตรย้อนกลับจุดเดิมสําหรับนักเรียนใหม่  (7 วัน)
ID_1003_843	
IN_001_090	บัตรย้อนกลับจุดเริ่มต้นสําหรับนักเรียนใหม่  (7 วัน)
ID_1003_844	
IN_001_091	สร้อยไข่มุกสําหรับนักเรียนใหม่  (30 วัน)
ID_1003_845	
IN_001_092	กล่องของขวัญสําหรับเด็กใหม่
ID_1003_846	
IN_001_093	ของขวัญคริสมาสต์(3วัน)
ID_1003_847	
IN_001_094	ต่างหูสําหรับเด็กใหม่  (7 วัน)
ID_1003_848	
IN_001_095	บัตรวาร์ปไปหาเพื่อนสําหรับเด็กใหม่  (7 วัน)
ID_1003_849	
IN_001_096	แว่นสําหรับเด็กใหม่  (7 วัน)
ID_1003_850	
IN_001_097	โทรโข่งสําหรับเด็กใหม่  (30 ครั้ง)
ID_1003_851	
IN_001_098	กล่องชุดแต่งกายคริสมาสต์ (3 วัน)
ID_1003_852	
IN_001_099	กล่องของขวัญ (ใช้เฉพาะทดสอบ)
ID_1003_853	
IN_001_107	Crown (90 วัน)
ID_1003_854	
IN_001_110	Love Chocolate_Black(15 วัน)
ID_1003_855	
IN_001_111	Sweetheart-Tears Ring 
ID_1003_856	
IN_001_112	Sweetheart Ring
ID_1003_857	
IN_001_113	Rose headband (30 วัน)
ID_1003_858	
IN_001_114	Love Chocolate_White (15 วัน)
ID_1003_859	
IN_001_115	Red Rose
ID_1003_860	
IN_001_116	กล่องเสี่ยงโชค Exit Race
ID_1003_861	
IN_001_117	กล่องเสี่ยงโชค Exit Revolution
ID_1003_862	
IN_001_118	กล่องเสี่ยงโชค Exti Razzle
ID_1003_863	
IN_001_119	กล่องเสี่ยงโชค Exit Riot
ID_1003_864	
IN_001_120	เสื้อ eXit สีน้ำเงิน
ID_1003_865	
IN_001_121	เสื้อ eXit สีส้ม
ID_1003_866	
IN_001_122	เสื้อ eXit สีเขียว
ID_1003_867	
IN_001_123	เสื้อ eXit สีแดง
ID_1003_868	
IN_001_124	Exit's Race
ID_1003_869	
IN_001_125	Exit's Revolution
ID_1003_870	
IN_001_126	Exit's Razzle
ID_1003_871	
IN_001_127	Exit's Riot
ID_1003_872	
IN_001_128	ขันน้ำ (15 วัน)
ID_1003_873	
IN_001_129	พวงมาลัย (15 วัน)
ID_1003_874	
IN_001_130	ดินสอพอง (15 วัน)
ID_1003_875	
IN_001_131	ยันต์สะกดวิญญาณ[7D]
ID_1003_876	
IN_001_132	กล่องชุดสร้อยคอคุ้มครอง[3D]
ID_1003_877	
IN_001_133	สร้อยคอคุ้มครอง[7D]
ID_1003_878	
IN_001_142	ดีงู (15 วัน)
ID_1003_879	
IN_001_143	แหวนไล่ปีศาจ (15 วัน)
ID_1003_880	
IN_001_144	ดอกมะลิ (15 วัน)
ID_1003_881	
IN_001_145	พวงมาลัย (15 วัน)
ID_1003_882	
IN_001_146	เสื้อยืด "เรารักแม่" (7 วัน)
ID_1003_883	
IN_001_147	กล่องเสี่ยงดวง (3 วัน)
ID_1003_884	
IN_001_148	น้ำแข็งแห้ง
ID_1006_076	
IN_001_149	FireWork
ID_1006_077	
IN_001_150	FireWorks Box
ID_1007_001	
IN_001_151	กล่องเสี่ยงดวง
ID_1007_002	
IN_001_175	ตุ๊กตาฟักทอง (15วัน)
ID_1007_003	
IN_001_176	ลูกกวาด (15 วัน)
ID_1007_004	
IN_001_177	สร้อยฮาโลวีน (7 วัน)
ID_1007_005	
IN_001_181	กล่องของขวัญคริสมาส (7 วัน)
ID_1007_011	
IN_001_182	หมวกคริสมาสชาย (15 วัน)
ID_1007_077	
IN_001_183	หมวกคริสมาสหญิง (15 วัน)
ID_1007_078	
IN_001_184	ส.ค.ส. (15 วัน)
ID_1007_079	
IN_001_185	ถุงเท้าแดง (15 วัน)
ID_1007_080	
IN_001_186	ถุงเท้าน้ำเงิน (15 วัน)
ID_1007_081	
IN_001_187	ชุดคริสมาสหญิง (15 วัน)
ID_1007_082	
IN_001_188	เสื่อซาต้าหญิง (15 วัน)
ID_1007_083	
IN_001_189	กระโปรงซานต้าหญิง (15 วัน)
ID_1007_084	
IN_001_190	รองเท้าบู๊ตยาว (15 วัน)
ID_1007_085	
IN_001_191	เขากวางแดง (15 วัน)
ID_1007_086	
IN_001_192	ชุดคริสมาสชาย (15 วัน)
ID_1007_087	
IN_001_193	เสื้อซานต้าชาย (15 วัน)
ID_1008_005	
IN_001_194	กางเกงซานต้าชาย (15 วัน)
ID_1009_002	
IN_001_195	รองเท้าซานต้า (15 วัน)
ID_1009_007	
IN_001_196	หมวกซานต้า (15 วัน)
ID_1009_008	
IN_001_197	ผ้าโพกหัว
ID_1009_009	
IN_001_198	ดอกชบายักษ์
ID_1009_010	
IN_001_199	1000 RAN money
ID_1009_011	
IN_001_200	10 files of 1000 Ran money
ID_1009_012	
IN_001_201	ดอกกุหลาบ (30 วัน)
ID_1009_034	
IN_001_202	ปืนคู่ Spencer
ID_1010_042	
IN_001_203	ปืนสไนเปอร์ Pleton
ID_1010_043	
IN_001_204	ปืนไฟฟ้า Pleton
ID_1010_044	
IN_001_205	ปืนคู่ Boxun
ID_1010_045	
IN_001_206	ปืนสไนเปอร์ Zebra
ID_1010_046	
IN_001_207	ปืนไฟฟ้า Zebra
ID_1010_047	
IN_001_208	ปืนคู่ Haber
ID_1010_048	
IN_001_209	ปืนสไนเปอร์ Chest
ID_1010_049	
IN_001_210	ปืนไฟฟ้า Chest
ID_1010_050	
IN_001_211	หอกคู่ Shinobi
ID_1010_058	
IN_001_212	เคียว Shinobi
ID_1010_067	
IN_001_213	กงจักร Shinobi
ID_1010_068	
IN_001_214	หอกคู่ Arasse
ID_1010_069	
IN_001_215	เคียว Arasse
ID_1010_070	
IN_001_216	กงจักร Arasse
ID_1010_071	
IN_001_217	หอกคู่ Luthium
ID_1010_072	
IN_001_218	เคียว Luthium
ID_1010_073	
IN_001_219	กงจักร Luthium
ID_1010_074	
IN_001_220	Antique Cube
ID_115_038	
IN_001_221	Anchor Whip
ID_115_064	
IN_001_222	Tower Magic Wand
ID_115_065	
IN_001_223	Doom Cube
ID_117_005	
IN_001_224	Blade Whip
ID_117_006	
IN_001_225	Blade Magic Wand
ID_117_007	
IN_001_226	Royal Cross Cube
ID_117_009	
IN_001_227	Phantom Whip
ID_117_015	
IN_001_228	Phantom Magic Wand
ID_117_019	
IN_002_000	BaedalItem
ID_117_031	
IN_002_001	สร้อยเขี้ยวเสือ
ID_117_042	
IN_002_002	พลุ (สีแดง)
ID_118_014	
IN_002_003	พลุ (สีเหลือง)
ID_118_016	
IN_002_004	พลุ (สีน้ำเงิน)
ID_118_025	
IN_002_005	พลุ (แบบละอองน้ำ)
ID_127_194	
IN_002_006	โทรโข่ง
ID_127_195	
IN_002_007	บัตรย้อนกลับจุดเริ่มต้น
ID_127_196	
IN_002_008	บัตรเปิดล็อกเกอร์จากทุกที่
ID_127_233	
IN_002_009	LOCKER Supplements The Loan And
ID_127_234	
IN_002_010	Beida's Necklace
ID_127_235	
IN_002_011	Beida's Spot Ring
ID_128_001	
IN_002_012	Pakse Necklace
ID_128_002	
IN_002_013	Dakejima Necklace
ID_128_003	
IN_002_014	Yurionsil Necklace
ID_128_004	
IN_002_015	แหวน
ID_128_005	
IN_002_016	 
ID_128_006	
IN_002_017	 
ID_128_007	
IN_002_018	 
ID_128_008	
IN_002_019	 
ID_128_009	
IN_002_042	 น้ำยาเสริมพลังแบบสุดยอด (50 นาที)
ID_128_010	
IN_002_120	ดาบ DEX ธาตุ Faint (15 วัน)
ID_128_011	
IN_002_121	ดาบ SPI ธาตุ Faint (15 วัน)
ID_128_012	
IN_002_122	ดาบ POW ธาตุ Faint (15 วัน)
ID_128_013	
IN_002_123	ธนู DEX ธาตุ Faint (15 วัน)
ID_128_014	
IN_002_124	ธนู POW ธาตุ Faint (15 วัน)
ID_128_015	
IN_002_125	ธนู SPI ธาตุ Faint (15 วัน)
ID_128_016	
IN_002_126	หอก ธาตุ Faint (15 วัน)
ID_128_017	
IN_002_127	คฑา ธาตุ Faint (15 วัน)
ID_128_018	
IN_002_128	หมัด POW ธาตุ Faint (15 วัน)
ID_128_019	
IN_002_129	หมัด SPI ธาตุ Faint (15 วัน)
ID_128_020	
IN_002_130	หมัด DEX ธาตุ Faint (15 วัน)
ID_128_021	
IN_002_131	กล่องดาบ DEX ธาตุ Faint
ID_128_022	
IN_002_132	กล่องดาบ SPI ธาตุ Faint
ID_128_023	
IN_002_133	กล่องดาบ POW ธาตุ Faint
ID_128_024	
IN_002_134	กล่องธนู DEX ธาตุ Faint
ID_128_025	
IN_002_135	กล่องธนู POW ธาตุ Faint
ID_128_026	
IN_002_136	กล่องธนู SPI ธาตุ Faint
ID_128_027	
IN_002_137	กล่องหอกธาตุ Faint
ID_128_028	
IN_002_138	กล่องคฑาธาตุ Faint
ID_128_029	
IN_002_139	กล่องหมัด POW ธาตุ Faint
ID_128_030	
IN_002_140	กล่องหมัด SPI ธาตุ Faint
ID_128_031	
IN_002_141	กล่องหมัด DEX ธาตุ Faint
ID_128_032	
IN_003_000	QiJian
ID_128_033	
IN_003_001	Light Novice Wooden Sword
ID_128_034	
IN_003_002	Light Wooden Sword
ID_128_035	
IN_003_003	Light Japanese Sword
ID_128_036	
IN_003_004	Light Jasper Sword
ID_128_037	
IN_003_005	Light Bamboo Leaves Sword
ID_128_038	
IN_003_006	Light Fine Steel Sword
ID_128_039	
IN_003_007	Light Warrior Long Sword
ID_128_040	
IN_003_008	Light Damascus Long Sword
ID_128_041	
IN_003_009	Light Sharp-Edge Sword
ID_128_042	
IN_003_010	Light Double-Edged Sword
ID_128_043	
IN_003_011	Light Machinery Wide Sword
ID_128_044	
IN_003_012	Light Hard Extravagant Sword
ID_128_045	
IN_003_013	Light Lava Extra Vagant Sword
ID_128_046	
IN_003_014	Light White Dragon Sword
ID_128_047	
IN_003_015	Light Solar Sword
ID_128_048	
IN_003_016	ดาบไร้เทียมทาน(เวทย์)
ID_128_049	
IN_003_017	ดาบเทพ(เวทย์)
ID_128_050	
IN_004_000	ขนมปัง
ID_128_051	
IN_004_001	น้ำยาเพิ่ม HP (กลาง)
ID_128_052	
IN_004_002	น้ำยาเพิ่ม HP (ใหญ่)
ID_128_053	
IN_004_003	Arab League Si Piling
ID_128_054	
IN_004_004	ขนมไข่
ID_128_055	
IN_004_005	น้ำยาเพิ่ม HP (เล็ก) จากสถาบัน Tiger Command
ID_128_056	
IN_004_006	ไอศกรีมเซอร์รี่
ID_128_057	
IN_004_007	น้ำยาเพิ่ม HP (ระดับสูง)
ID_128_058	
IN_004_008	Reply Medicinal Preparation
ID_128_059	
IN_004_009	น้ำยามาโคร (1 ชั่วโมง)
ID_128_060	
IN_005_000	น้ำยาเพิ่ม MP (เล็ก)
ID_128_061	
IN_005_001	น้ำยาเพิ่ม MP (กลาง)
ID_128_062	
IN_005_002	น้ำยาเพิ่ม MP (ใหญ่)
ID_128_063	
IN_005_003	น้ำยาเพิ่ม MP (กลาง) จากสถาบัน Tiger Command
ID_128_064	
IN_005_004	ไอศกรีมช็อกโกแลต
ID_128_065	
IN_005_005	น้ำยาเพิ่ม MP (ระดับสูง)
ID_128_066	
IN_006_000	น้ำยาเพิ่ม SP (เล็ก)
ID_128_067	
IN_006_001	น้ำยาเพิ่ม SP (กลาง)
ID_128_068	
IN_006_002	น้ำยาเพิ่ม SP (ใหญ่)
ID_128_069	
IN_006_003	น้ำยาเพิ่ม SP (กลาง) จากสถาบัน Tiger Command
ID_128_070	
IN_006_004	ไอศกรีมอัลมอน
ID_128_071	
IN_006_005	น้ำยาเพิ่ม SP (ระดับสูง)
ID_128_072	
IN_007_000	Temp
ID_128_073	
IN_008_000	Vitality Potion
ID_128_074	
IN_008_001	Synthetic Potion
ID_128_075	
IN_008_002	ยาแก้พิษ
ID_128_076	
IN_008_003	ยากแก้พิษ จากสถาบัน Tiger Command
ID_128_077	
IN_008_004	ฮ็อตด็อก
ID_128_078	
IN_008_005	HP
ID_128_079	
IN_008_006	MP
ID_128_080	
IN_008_007	SP
ID_128_081	
IN_008_008	HP+MP+SP
ID_128_082	
IN_008_009	ยาลึกลับ
ID_128_083	
IN_008_010	น้ำยาแก้สตั๊น
ID_128_084	
IN_009_000	ของที่เหมาะสม
ID_128_085	
IN_009_001	กล่องเสี่ยงโชค
ID_128_086	
IN_009_002	กล่องเสี่ยงโชค
ID_128_087	
IN_009_003	กล่องเสี่ยงโชค
ID_128_088	
IN_009_004	กล่องเสี่ยงโชค
ID_128_089	
IN_009_005	กล่องเสี่ยงโชค
ID_128_091	
IN_009_006	กล่องเสี่ยงโชค
ID_128_092	
IN_009_007	กล่องเสี่ยงโชค
ID_128_093	
IN_009_008	กล่องเสี่ยงโชค
ID_128_094	
IN_009_009	กล่องเสี่ยงโชค
ID_128_095	
IN_009_010	กล่องเสี่ยงโชค
ID_128_096	
IN_009_011	กล่องเสี่ยงโชค
ID_128_097	
IN_009_012	กล่องเสี่ยงโชค
ID_128_098	
IN_009_013	กล่องเสี่ยงโชค
ID_128_099	
IN_009_014	กล่องเสี่ยงโชค
ID_128_100	
IN_009_015	กล่องเสี่ยงโชค
ID_128_101	
IN_009_016	กล่องเสี่ยงโชค
ID_128_102	
IN_009_017	กล่องเสี่ยงโชค
ID_128_103	
IN_009_018	กล่องเสี่ยงโชค
ID_128_104	
IN_009_019	กล่องเสี่ยงโชค
ID_128_105	
IN_009_020	กล่องเสี่ยงโชค
ID_128_106	
IN_009_021	กล่องเสี่ยงโชค
ID_128_107	
IN_009_022	กล่องเสี่ยงโชค
ID_128_108	
IN_009_023	กล่องเสี่ยงโชค
ID_128_109	
IN_009_024	กล่องเสี่ยงโชค
ID_128_110	
IN_009_025	กล่องเสี่ยงโชค
ID_128_111	
IN_009_026	กล่องเสี่ยงโชค
ID_128_112	
IN_009_027	กล่องเสี่ยงโชค
ID_128_113	
IN_009_028	กล่องเสี่ยงโชค
ID_128_114	
IN_009_029	กล่องเสี่ยงโชค
ID_128_115	
IN_009_030	กล่องเสี่ยงโชค
ID_128_116	
IN_009_031	กล่องเสี่ยงโชค
ID_128_117	
IN_009_032	กล่องเสี่ยงโชค
ID_128_118	
IN_009_033	กล่องเสี่ยงโชค
ID_128_119	
IN_009_034	กล่องเสี่ยงโชค
ID_128_120	
IN_009_035	กล่องเสี่ยงโชค
ID_128_121	
IN_009_036	กล่องเสี่ยงโชค
ID_128_122	
IN_009_042	กล่องเสี่ยงโชค
ID_128_123	
IN_009_044	กล่องเสี่ยงโชค
ID_128_124	
IN_009_045	กล่องเสี่ยงโชค
ID_128_125	
IN_009_046	กล่องเสี่ยงโชค
ID_128_126	
IN_009_060	กล่องเสี่ยงโชค
ID_128_127	
IN_009_061	กล่องเสี่ยงโชค
ID_128_128	
IN_009_062	กล่องเสี่ยงโชค
ID_128_129	
IN_009_063	กล่องเสี่ยงโชค
ID_128_130	
IN_009_064	กล่องเสี่ยงโชค
ID_128_135	
IN_009_065	กล่องเสี่ยงโชค
ID_128_136	
IN_009_067	กล่องดำลึกลับ
ID_128_137	
IN_009_068	กล่องเสี่ยงโชค
ID_128_138	
IN_009_069	กล่องเสี่ยงโชค
ID_128_139	
IN_009_101	กล่องเสี่ยงโชค
ID_128_140	
IN_009_102	กล่องเสี่ยงโชค
ID_128_141	
IN_009_103	กล่องเสี่ยงโชค
ID_128_142	
IN_009_104	กล่องเสี่ยงโชค
ID_128_143	
IN_009_105	กล่องเสี่ยงโชค
ID_128_144	
IN_009_106	กล่องเสี่ยงโชค
ID_128_145	
IN_009_107	กล่องเสี่ยงโชค
ID_128_146	
IN_009_108	กล่องเสี่ยงโชค
ID_128_147	
IN_010_000	ชั่วคราว
ID_128_148	
IN_011_000	แปรงขัดสนิม
ID_128_149	
IN_011_001	น้ำยาขัดเงา
ID_128_150	
IN_011_002	ManChaLuoHua 8
ID_128_151	
IN_011_003	เหล็กเก่าโบราณ
ID_128_152	
IN_011_004	พลอยแดง
ID_128_153	
IN_011_005	Variant Hone
ID_128_154	
IN_011_006	น้ำยาขัดเงาอย่างดี
ID_128_155	
IN_011_007	Surface? Principle Medicinal Preparation
ID_128_156	
IN_011_008	Black ManChaLuoHua 8
ID_128_157	
IN_011_009	ผงหิน
ID_128_158	
IN_011_010	เหล็กเก่าโบราณ
ID_128_159	
IN_011_011	เหล็กพิเศษ
ID_128_160	
IN_011_012	เหล็ก
ID_128_161	
IN_011_013	ธาตุโซเดียมพิเศษ
ID_128_162	
IN_011_014	ผลึกแก้วพิเศษ
ID_128_179	
IN_011_015	ธาตุเงินพิเศษ
ID_128_180	
IN_011_016	ธาตุเงิน
ID_128_181	
IN_011_017	ผลึกแก้ว
ID_128_239	
IN_011_018	ผงกระดูก
ID_128_241	
IN_011_019	ผงกระดูกพิเศษ
ID_128_242	
IN_011_020	ธาตุโซเดียม
ID_128_243	
IN_011_021	น้ำยาซักผ้า
ID_128_244	
IN_011_022	พลอยแดงระดับต้น (ใช้กับอาวุธ)
ID_128_245	
IN_011_023	พลอยแดงระดับกลาง (ใช้กับอาวุธ)
ID_128_246	
IN_011_024	พลอยแดงระดับสูง (ใช้กับอาวุธ)
ID_128_247	
IN_011_025	น้ำยาขัดเงาระดับต้น (ใช้กับชุด)
ID_128_248	
IN_011_026	น้ำยาขัดเงาระดับกลาง (ใช้กับชุด)
ID_128_249	
IN_011_027	น้ำยาขัดเงาระดับสูง (ใช้กับชุด)
ID_128_250	
IN_011_028	พลอยแดงระดับกลาง (+1 ~ +6)
ID_128_251	
IN_011_029	พลอยแดงระดับกลาง (+2 ~ +6)
ID_128_252	
IN_011_030	พลอยแดงระดับกลาง (+2 ~ +7)
ID_128_253	
IN_011_031	พลอยแดงระดับกลาง (+3 ~ +7)
ID_128_254	
IN_011_032	พลอยแดงระดับกลาง (+3 ~ +8)
ID_128_255	
IN_011_033	พลอยแดงระดับกลาง (+3 ~ +9)
ID_128_256	
IN_011_034	พลอยแดงระดับกลาง (+4 ~ +7)
ID_128_257	
IN_011_035	พลอยแดงระดับกลาง (+4 ~ +8)
ID_128_258	
IN_011_036	พลอยแดงระดับกลาง (+4 ~ +9)
ID_128_259	
IN_011_037	พลอยแดงระดับกลาง (+5 ~ +7)
ID_128_260	
IN_011_038	พลอยแดงระดับกลาง (+5 ~ +8)
ID_128_261	
IN_011_039	พลอยแดงระดับกลาง (+5 ~ +9)
ID_128_262	
IN_011_040	พลอยแดงระดับกลาง (+5 ~ +10)
ID_128_263	
IN_011_041	พลอยแดงระดับกลาง (+6 ~ +9)
ID_128_264	
IN_011_042	พลอยแดงระดับกลาง (+6 ~ +10)
ID_128_265	
IN_011_043	พลอยแดงระดับสูงสุด (+1)
ID_128_266	
IN_011_044	พลอยแดงระดับสูงสุด (+1 ~ +2)
ID_128_267	
IN_011_045	พลอยแดงระดับสูงสุด (+1 ~ +3)
ID_128_268	
IN_011_046	น้ำยาขัดเงาระดับกลาง (+1 ~ +6)
ID_128_269	
IN_011_047	น้ำยาขัดเงาระดับกลาง (+2 ~ +6)
ID_128_270	
IN_011_048	น้ำยาขัดเงาระดับกลาง (+2 ~ +7)
ID_128_271	
IN_011_049	น้ำยาขัดเงาระดับกลาง (+3 ~ +7)
ID_128_272	
IN_011_050	น้ำยาขัดเงาระดับกลาง (+3 ~ +8)
ID_128_273	
IN_011_051	น้ำยาขัดเงาระดับกลาง (+3 ~ +9)
ID_128_274	
IN_011_052	น้ำยาขัดเงาระดับกลาง (+4 ~ +7)
ID_128_275	
IN_011_053	น้ำยาขัดเงาระดับกลาง (+4 ~ +8)
ID_129_001	
IN_011_054	น้ำยาขัดเงาระดับกลาง (+4 ~ +9)
ID_129_002	
IN_011_055	น้ำยาขัดเงาระดับกลาง (+5 ~ +7)
ID_129_003	
IN_011_056	น้ำยาขัดเงาระดับกลาง (+5 ~ +8)
ID_129_004	
IN_011_057	น้ำยาขัดเงาระดับกลาง (+5 ~ +9)
ID_129_005	
IN_011_058	น้ำยาขัดเงาระดับกลาง (+5 ~ +10)
ID_129_006	
IN_011_059	น้ำยาขัดเงาระดับกลาง (+6 ~ +9)
ID_129_024	
IN_011_060	น้ำยาขัดเงาระดับกลาง (+6 ~ +10)
ID_129_029	
IN_011_061	น้ำยาขัดเงาระดับสูงสุด (+1)
ID_129_031	
IN_011_062	น้ำยาขัดเงาระดับสูงสุด (+1 ~ +2)
ID_129_032	
IN_011_063	น้ำยาขัดเงาระดับสูงสุด (+1 ~ +3)
ID_129_033	
IN_011_064	พลอยแดงระดับสูง (+1 ~ +6)
ID_129_034	
IN_011_065	พลอยแดงระดับสูง (+2 ~ +6)
ID_129_035	
IN_011_066	พลอยแดงระดับสูง (+2 ~ +7)
ID_129_036	
